ticker,year,theme,score,filing_date
AAPL,2020,Supply Chain,0.6287224292755127,2020-10-30
AAPL,2020,Regulatory,0.4526499807834625,2020-10-30
AAPL,2020,Geopolitical,0.5725274682044983,2020-10-30
AAPL,2020,AI/Data Privacy,0.40773147344589233,2020-10-30
AAPL,2020,Cybersecurity,0.4386245906352997,2020-10-30
AAPL,2020,Macro/Inflation,0.42449265718460083,2020-10-30
AAPL,2020,Competition,0.5280556082725525,2020-10-30
AAPL,2020,Legal/IP,0.5221560597419739,2020-10-30
AAPL,2021,Supply Chain,0.6829435229301453,2021-10-29
AAPL,2021,Regulatory,0.39215072989463806,2021-10-29
AAPL,2021,Geopolitical,0.581642746925354,2021-10-29
AAPL,2021,AI/Data Privacy,0.38410356640815735,2021-10-29
AAPL,2021,Cybersecurity,0.5217733979225159,2021-10-29
AAPL,2021,Macro/Inflation,0.4261617064476013,2021-10-29
AAPL,2021,Competition,0.5682888627052307,2021-10-29
AAPL,2021,Legal/IP,0.5726932883262634,2021-10-29
AAPL,2022,Supply Chain,0.5986881852149963,2022-10-28
AAPL,2022,Regulatory,0.44875749945640564,2022-10-28
AAPL,2022,Geopolitical,0.5695239305496216,2022-10-28
AAPL,2022,AI/Data Privacy,0.39779675006866455,2022-10-28
AAPL,2022,Cybersecurity,0.4817104935646057,2022-10-28
AAPL,2022,Macro/Inflation,0.4334435760974884,2022-10-28
AAPL,2022,Competition,0.5310724377632141,2022-10-28
AAPL,2022,Legal/IP,0.4300733208656311,2022-10-28
AAPL,2023,Supply Chain,0.6280115842819214,2023-11-03
AAPL,2023,Regulatory,0.42725861072540283,2023-11-03
AAPL,2023,Geopolitical,0.535575270652771,2023-11-03
AAPL,2023,AI/Data Privacy,0.39609789848327637,2023-11-03
AAPL,2023,Cybersecurity,0.5097516179084778,2023-11-03
AAPL,2023,Macro/Inflation,0.4590272307395935,2023-11-03
AAPL,2023,Competition,0.521737277507782,2023-11-03
AAPL,2023,Legal/IP,0.5301953554153442,2023-11-03
AAPL,2024,Supply Chain,0.664644181728363,2024-11-01
AAPL,2024,Regulatory,0.41221532225608826,2024-11-01
AAPL,2024,Geopolitical,0.48415127396583557,2024-11-01
AAPL,2024,AI/Data Privacy,0.414644330739975,2024-11-01
AAPL,2024,Cybersecurity,0.4676766097545624,2024-11-01
AAPL,2024,Macro/Inflation,0.39354461431503296,2024-11-01
AAPL,2024,Competition,0.5523650646209717,2024-11-01
AAPL,2024,Legal/IP,0.5846834182739258,2024-11-01
MSFT,2020,Supply Chain,0.4885638356208801,2020-07-30
MSFT,2020,Regulatory,0.5034658908843994,2020-07-30
MSFT,2020,Geopolitical,0.6170241832733154,2020-07-30
MSFT,2020,AI/Data Privacy,0.5645958185195923,2020-07-30
MSFT,2020,Cybersecurity,0.5181546807289124,2020-07-30
MSFT,2020,Macro/Inflation,0.4464348554611206,2020-07-30
MSFT,2020,Competition,0.4248180091381073,2020-07-30
MSFT,2020,Legal/IP,0.5398904085159302,2020-07-30
MSFT,2021,Supply Chain,0.5123125314712524,2021-07-29
MSFT,2021,Regulatory,0.47815588116645813,2021-07-29
MSFT,2021,Geopolitical,0.5872287154197693,2021-07-29
MSFT,2021,AI/Data Privacy,0.505611777305603,2021-07-29
MSFT,2021,Cybersecurity,0.5645008087158203,2021-07-29
MSFT,2021,Macro/Inflation,0.41131824254989624,2021-07-29
MSFT,2021,Competition,0.4739910662174225,2021-07-29
MSFT,2021,Legal/IP,0.5605637431144714,2021-07-29
MSFT,2022,Supply Chain,0.5122125744819641,2022-07-28
MSFT,2022,Regulatory,0.4622728228569031,2022-07-28
MSFT,2022,Geopolitical,0.5256026983261108,2022-07-28
MSFT,2022,AI/Data Privacy,0.5989672541618347,2022-07-28
MSFT,2022,Cybersecurity,0.56641685962677,2022-07-28
MSFT,2022,Macro/Inflation,0.40629175305366516,2022-07-28
MSFT,2022,Competition,0.4912060797214508,2022-07-28
MSFT,2022,Legal/IP,0.5566380023956299,2022-07-28
MSFT,2023,Supply Chain,0.48954537510871887,2023-07-27
MSFT,2023,Regulatory,0.46508491039276123,2023-07-27
MSFT,2023,Geopolitical,0.638664960861206,2023-07-27
MSFT,2023,AI/Data Privacy,0.6277716755867004,2023-07-27
MSFT,2023,Cybersecurity,0.5149392485618591,2023-07-27
MSFT,2023,Macro/Inflation,0.417363703250885,2023-07-27
MSFT,2023,Competition,0.4254075288772583,2023-07-27
MSFT,2023,Legal/IP,0.5029812455177307,2023-07-27
MSFT,2024,Supply Chain,0.5266793966293335,2024-07-30
MSFT,2024,Regulatory,0.45519348978996277,2024-07-30
MSFT,2024,Geopolitical,0.6425492167472839,2024-07-30
MSFT,2024,AI/Data Privacy,0.6454764604568481,2024-07-30
MSFT,2024,Cybersecurity,0.5151602029800415,2024-07-30
MSFT,2024,Macro/Inflation,0.41525569558143616,2024-07-30
MSFT,2024,Competition,0.44563019275665283,2024-07-30
MSFT,2024,Legal/IP,0.512556254863739,2024-07-30
NVDA,2020,Supply Chain,0.532541811466217,2020-02-20
NVDA,2020,Regulatory,0.4130236506462097,2020-02-20
NVDA,2020,Geopolitical,0.42935502529144287,2020-02-20
NVDA,2020,AI/Data Privacy,0.49767035245895386,2020-02-20
NVDA,2020,Cybersecurity,0.6155455112457275,2020-02-20
NVDA,2020,Macro/Inflation,0.3900839388370514,2020-02-20
NVDA,2020,Competition,0.5928449034690857,2020-02-20
NVDA,2020,Legal/IP,0.5218764543533325,2020-02-20
NVDA,2021,Supply Chain,0.5595492720603943,2021-02-26
NVDA,2021,Regulatory,0.42118287086486816,2021-02-26
NVDA,2021,Geopolitical,0.6073611974716187,2021-02-26
NVDA,2021,AI/Data Privacy,0.5210694670677185,2021-02-26
NVDA,2021,Cybersecurity,0.6029980182647705,2021-02-26
NVDA,2021,Macro/Inflation,0.4235401451587677,2021-02-26
NVDA,2021,Competition,0.48317188024520874,2021-02-26
NVDA,2021,Legal/IP,0.5138717293739319,2021-02-26
NVDA,2022,Supply Chain,0.5704876184463501,2022-03-18
NVDA,2022,Regulatory,0.47909653186798096,2022-03-18
NVDA,2022,Geopolitical,0.612535297870636,2022-03-18
NVDA,2022,AI/Data Privacy,0.539387047290802,2022-03-18
NVDA,2022,Cybersecurity,0.5741478204727173,2022-03-18
NVDA,2022,Macro/Inflation,0.5370404124259949,2022-03-18
NVDA,2022,Competition,0.5328079462051392,2022-03-18
NVDA,2022,Legal/IP,0.44925543665885925,2022-03-18
NVDA,2023,Supply Chain,0.6014469265937805,2023-02-24
NVDA,2023,Regulatory,0.500373125076294,2023-02-24
NVDA,2023,Geopolitical,0.5570719838142395,2023-02-24
NVDA,2023,AI/Data Privacy,0.6346467137336731,2023-02-24
NVDA,2023,Cybersecurity,0.5243776440620422,2023-02-24
NVDA,2023,Macro/Inflation,0.39617276191711426,2023-02-24
NVDA,2023,Competition,0.5768939852714539,2023-02-24
NVDA,2023,Legal/IP,0.46828919649124146,2023-02-24
NVDA,2024,Supply Chain,0.6260963082313538,2024-02-21
NVDA,2024,Regulatory,0.5104019641876221,2024-02-21
NVDA,2024,Geopolitical,0.6023207902908325,2024-02-21
NVDA,2024,AI/Data Privacy,0.5406816005706787,2024-02-21
NVDA,2024,Cybersecurity,0.5861719846725464,2024-02-21
NVDA,2024,Macro/Inflation,0.4054729640483856,2024-02-21
NVDA,2024,Competition,0.517963171005249,2024-02-21
NVDA,2024,Legal/IP,0.5047286152839661,2024-02-21
GOOGL,2023,Supply Chain,0.7185952067375183,2023-02-03
GOOGL,2023,Regulatory,0.46234676241874695,2023-02-03
GOOGL,2023,Geopolitical,0.5210177302360535,2023-02-03
GOOGL,2023,AI/Data Privacy,0.46837887167930603,2023-02-03
GOOGL,2023,Cybersecurity,0.48421838879585266,2023-02-03
GOOGL,2023,Macro/Inflation,0.4999292492866516,2023-02-03
GOOGL,2023,Competition,0.49889564514160156,2023-02-03
GOOGL,2023,Legal/IP,0.6017248630523682,2023-02-03
GOOGL,2024,Supply Chain,0.6710547208786011,2024-01-31
GOOGL,2024,Regulatory,0.5395829677581787,2024-01-31
GOOGL,2024,Geopolitical,0.6856813430786133,2024-01-31
GOOGL,2024,AI/Data Privacy,0.6170210838317871,2024-01-31
GOOGL,2024,Cybersecurity,0.5080604553222656,2024-01-31
GOOGL,2024,Macro/Inflation,0.40536603331565857,2024-01-31
GOOGL,2024,Competition,0.48743459582328796,2024-01-31
GOOGL,2024,Legal/IP,0.5686323046684265,2024-01-31
AMZN,2020,Supply Chain,0.5651006102561951,2020-01-31
AMZN,2020,Regulatory,0.45501694083213806,2020-01-31
AMZN,2020,Geopolitical,0.5190279483795166,2020-01-31
AMZN,2020,AI/Data Privacy,0.41830772161483765,2020-01-31
AMZN,2020,Cybersecurity,0.48641836643218994,2020-01-31
AMZN,2020,Macro/Inflation,0.4549424648284912,2020-01-31
AMZN,2020,Competition,0.47705894708633423,2020-01-31
AMZN,2020,Legal/IP,0.5158661603927612,2020-01-31
AMZN,2021,Supply Chain,0.5532618761062622,2021-02-03
AMZN,2021,Regulatory,0.4541306495666504,2021-02-03
AMZN,2021,Geopolitical,0.5313962697982788,2021-02-03
AMZN,2021,AI/Data Privacy,0.40660718083381653,2021-02-03
AMZN,2021,Cybersecurity,0.42817968130111694,2021-02-03
AMZN,2021,Macro/Inflation,0.4731703996658325,2021-02-03
AMZN,2021,Competition,0.5156380534172058,2021-02-03
AMZN,2021,Legal/IP,0.5479191541671753,2021-02-03
AMZN,2022,Supply Chain,0.6012031435966492,2022-02-04
AMZN,2022,Regulatory,0.5005385875701904,2022-02-04
AMZN,2022,Geopolitical,0.5181418061256409,2022-02-04
AMZN,2022,AI/Data Privacy,0.38508865237236023,2022-02-04
AMZN,2022,Cybersecurity,0.4300985038280487,2022-02-04
AMZN,2022,Macro/Inflation,0.4019312560558319,2022-02-04
AMZN,2022,Competition,0.4832312762737274,2022-02-04
AMZN,2022,Legal/IP,0.5327140688896179,2022-02-04
AMZN,2023,Supply Chain,0.5648903846740723,2023-02-03
AMZN,2023,Regulatory,0.4451187551021576,2023-02-03
AMZN,2023,Geopolitical,0.4816451966762543,2023-02-03
AMZN,2023,AI/Data Privacy,0.4350546598434448,2023-02-03
AMZN,2023,Cybersecurity,0.4882027506828308,2023-02-03
AMZN,2023,Macro/Inflation,0.5057316422462463,2023-02-03
AMZN,2023,Competition,0.6134989857673645,2023-02-03
AMZN,2023,Legal/IP,0.6184592843055725,2023-02-03
AMZN,2024,Supply Chain,0.5965747237205505,2024-02-02
AMZN,2024,Regulatory,0.4695189893245697,2024-02-02
AMZN,2024,Geopolitical,0.5308037996292114,2024-02-02
AMZN,2024,AI/Data Privacy,0.42509913444519043,2024-02-02
AMZN,2024,Cybersecurity,0.49573343992233276,2024-02-02
AMZN,2024,Macro/Inflation,0.4602062702178955,2024-02-02
AMZN,2024,Competition,0.6612576246261597,2024-02-02
AMZN,2024,Legal/IP,0.5354430079460144,2024-02-02
TSLA,2020,Supply Chain,0.6512843370437622,2020-02-13
TSLA,2020,Regulatory,0.356218159198761,2020-02-13
TSLA,2020,Geopolitical,0.433250367641449,2020-02-13
TSLA,2020,AI/Data Privacy,0.41125771403312683,2020-02-13
TSLA,2020,Cybersecurity,0.4532335102558136,2020-02-13
TSLA,2020,Macro/Inflation,0.41414979100227356,2020-02-13
TSLA,2020,Competition,0.45560795068740845,2020-02-13
TSLA,2020,Legal/IP,0.5080299377441406,2020-02-13
TSLA,2021,Supply Chain,0.546068549156189,2021-02-08
TSLA,2021,Regulatory,0.39797908067703247,2021-02-08
TSLA,2021,Geopolitical,0.47510069608688354,2021-02-08
TSLA,2021,AI/Data Privacy,0.38813310861587524,2021-02-08
TSLA,2021,Cybersecurity,0.4542486071586609,2021-02-08
TSLA,2021,Macro/Inflation,0.38637131452560425,2021-02-08
TSLA,2021,Competition,0.4457293450832367,2021-02-08
TSLA,2021,Legal/IP,0.47838136553764343,2021-02-08
TSLA,2022,Supply Chain,0.5641383528709412,2022-02-07
TSLA,2022,Regulatory,0.42286208271980286,2022-02-07
TSLA,2022,Geopolitical,0.42434072494506836,2022-02-07
TSLA,2022,AI/Data Privacy,0.47574540972709656,2022-02-07
TSLA,2022,Cybersecurity,0.6380389332771301,2022-02-07
TSLA,2022,Macro/Inflation,0.3896317183971405,2022-02-07
TSLA,2022,Competition,0.4151090681552887,2022-02-07
TSLA,2022,Legal/IP,0.44620707631111145,2022-02-07
TSLA,2023,Supply Chain,0.6173142790794373,2023-01-31
TSLA,2023,Regulatory,0.4165746867656708,2023-01-31
TSLA,2023,Geopolitical,0.5258913636207581,2023-01-31
TSLA,2023,AI/Data Privacy,0.48586076498031616,2023-01-31
TSLA,2023,Cybersecurity,0.5875046849250793,2023-01-31
TSLA,2023,Macro/Inflation,0.4228913187980652,2023-01-31
TSLA,2023,Competition,0.4347175359725952,2023-01-31
TSLA,2023,Legal/IP,0.4761691093444824,2023-01-31
TSLA,2024,Supply Chain,0.6408482789993286,2024-01-29
TSLA,2024,Regulatory,0.4249458909034729,2024-01-29
TSLA,2024,Geopolitical,0.4859931766986847,2024-01-29
TSLA,2024,AI/Data Privacy,0.47085851430892944,2024-01-29
TSLA,2024,Cybersecurity,0.6656648516654968,2024-01-29
TSLA,2024,Macro/Inflation,0.4954428970813751,2024-01-29
TSLA,2024,Competition,0.45834192633628845,2024-01-29
TSLA,2024,Legal/IP,0.4897650480270386,2024-01-29
AVGO,2020,Supply Chain,0.6197752356529236,2020-12-18
AVGO,2020,Regulatory,0.4199862778186798,2020-12-18
AVGO,2020,Geopolitical,0.5408082008361816,2020-12-18
AVGO,2020,AI/Data Privacy,0.4978298246860504,2020-12-18
AVGO,2020,Cybersecurity,0.5717428922653198,2020-12-18
AVGO,2020,Macro/Inflation,0.4324491322040558,2020-12-18
AVGO,2020,Competition,0.5361836552619934,2020-12-18
AVGO,2020,Legal/IP,0.5309571623802185,2020-12-18
AVGO,2021,Supply Chain,0.558229923248291,2021-12-17
AVGO,2021,Regulatory,0.43954262137413025,2021-12-17
AVGO,2021,Geopolitical,0.5575688481330872,2021-12-17
AVGO,2021,AI/Data Privacy,0.5442277193069458,2021-12-17
AVGO,2021,Cybersecurity,0.48910075426101685,2021-12-17
AVGO,2021,Macro/Inflation,0.37293127179145813,2021-12-17
AVGO,2021,Competition,0.5615980625152588,2021-12-17
AVGO,2021,Legal/IP,0.5226671695709229,2021-12-17
AVGO,2022,Supply Chain,0.5580015182495117,2022-12-16
AVGO,2022,Regulatory,0.46220695972442627,2022-12-16
AVGO,2022,Geopolitical,0.5440927147865295,2022-12-16
AVGO,2022,AI/Data Privacy,0.5371201634407043,2022-12-16
AVGO,2022,Cybersecurity,0.5536444187164307,2022-12-16
AVGO,2022,Macro/Inflation,0.4089828133583069,2022-12-16
AVGO,2022,Competition,0.5922574400901794,2022-12-16
AVGO,2022,Legal/IP,0.5635144114494324,2022-12-16
AVGO,2023,Supply Chain,0.6262525916099548,2023-12-14
AVGO,2023,Regulatory,0.4353529214859009,2023-12-14
AVGO,2023,Geopolitical,0.5554502606391907,2023-12-14
AVGO,2023,AI/Data Privacy,0.5772463083267212,2023-12-14
AVGO,2023,Cybersecurity,0.5704267024993896,2023-12-14
AVGO,2023,Macro/Inflation,0.48083022236824036,2023-12-14
AVGO,2023,Competition,0.5163691639900208,2023-12-14
AVGO,2023,Legal/IP,0.5275003910064697,2023-12-14
AVGO,2024,Supply Chain,0.5502000451087952,2024-12-20
AVGO,2024,Regulatory,0.4550849199295044,2024-12-20
AVGO,2024,Geopolitical,0.6219794750213623,2024-12-20
AVGO,2024,AI/Data Privacy,0.5163812041282654,2024-12-20
AVGO,2024,Cybersecurity,0.613768458366394,2024-12-20
AVGO,2024,Macro/Inflation,0.37903985381126404,2024-12-20
AVGO,2024,Competition,0.547279953956604,2024-12-20
AVGO,2024,Legal/IP,0.5010716319084167,2024-12-20
ORCL,2020,Supply Chain,0.6858707070350647,2020-06-22
ORCL,2020,Regulatory,0.43803760409355164,2020-06-22
ORCL,2020,Geopolitical,0.5928770899772644,2020-06-22
ORCL,2020,AI/Data Privacy,0.489641010761261,2020-06-22
ORCL,2020,Cybersecurity,0.477294921875,2020-06-22
ORCL,2020,Macro/Inflation,0.4159092605113983,2020-06-22
ORCL,2020,Competition,0.5320715308189392,2020-06-22
ORCL,2020,Legal/IP,0.5034525394439697,2020-06-22
ORCL,2021,Supply Chain,0.6650609374046326,2021-06-21
ORCL,2021,Regulatory,0.43114155530929565,2021-06-21
ORCL,2021,Geopolitical,0.4587107002735138,2021-06-21
ORCL,2021,AI/Data Privacy,0.5080302357673645,2021-06-21
ORCL,2021,Cybersecurity,0.46737873554229736,2021-06-21
ORCL,2021,Macro/Inflation,0.4357566237449646,2021-06-21
ORCL,2021,Competition,0.444500595331192,2021-06-21
ORCL,2021,Legal/IP,0.5169345140457153,2021-06-21
ORCL,2022,Supply Chain,0.6021445393562317,2022-06-21
ORCL,2022,Regulatory,0.438691109418869,2022-06-21
ORCL,2022,Geopolitical,0.5628634095191956,2022-06-21
ORCL,2022,AI/Data Privacy,0.5312405824661255,2022-06-21
ORCL,2022,Cybersecurity,0.5289962887763977,2022-06-21
ORCL,2022,Macro/Inflation,0.41652289032936096,2022-06-21
ORCL,2022,Competition,0.5300720930099487,2022-06-21
ORCL,2022,Legal/IP,0.5201978087425232,2022-06-21
ORCL,2023,Supply Chain,0.5827232599258423,2023-06-20
ORCL,2023,Regulatory,0.46362629532814026,2023-06-20
ORCL,2023,Geopolitical,0.556900680065155,2023-06-20
ORCL,2023,AI/Data Privacy,0.5202093124389648,2023-06-20
ORCL,2023,Cybersecurity,0.45423460006713867,2023-06-20
ORCL,2023,Macro/Inflation,0.47853362560272217,2023-06-20
ORCL,2023,Competition,0.4710007309913635,2023-06-20
ORCL,2023,Legal/IP,0.54683518409729,2023-06-20
ORCL,2024,Supply Chain,0.6758295297622681,2024-06-20
ORCL,2024,Regulatory,0.5269809365272522,2024-06-20
ORCL,2024,Geopolitical,0.6162992119789124,2024-06-20
ORCL,2024,AI/Data Privacy,0.5297865867614746,2024-06-20
ORCL,2024,Cybersecurity,0.5850890874862671,2024-06-20
ORCL,2024,Macro/Inflation,0.4875725507736206,2024-06-20
ORCL,2024,Competition,0.4759409427642822,2024-06-20
ORCL,2024,Legal/IP,0.5931963920593262,2024-06-20
ADBE,2020,Supply Chain,0.4737381637096405,2020-01-21
ADBE,2020,Regulatory,0.4935196042060852,2020-01-21
ADBE,2020,Geopolitical,0.5619586706161499,2020-01-21
ADBE,2020,AI/Data Privacy,0.43206867575645447,2020-01-21
ADBE,2020,Cybersecurity,0.49664852023124695,2020-01-21
ADBE,2020,Macro/Inflation,0.46832916140556335,2020-01-21
ADBE,2020,Competition,0.5203210115432739,2020-01-21
ADBE,2020,Legal/IP,0.6383510828018188,2020-01-21
ADBE,2021,Supply Chain,0.491151362657547,2021-01-15
ADBE,2021,Regulatory,0.48617061972618103,2021-01-15
ADBE,2021,Geopolitical,0.5435127019882202,2021-01-15
ADBE,2021,AI/Data Privacy,0.5515686273574829,2021-01-15
ADBE,2021,Cybersecurity,0.5248774290084839,2021-01-15
ADBE,2021,Macro/Inflation,0.3829658329486847,2021-01-15
ADBE,2021,Competition,0.5574981570243835,2021-01-15
ADBE,2021,Legal/IP,0.5934292078018188,2021-01-15
ADBE,2022,Supply Chain,0.490080326795578,2022-01-21
ADBE,2022,Regulatory,0.4408408999443054,2022-01-21
ADBE,2022,Geopolitical,0.5951098203659058,2022-01-21
ADBE,2022,AI/Data Privacy,0.5753816962242126,2022-01-21
ADBE,2022,Cybersecurity,0.4820389151573181,2022-01-21
ADBE,2022,Macro/Inflation,0.4261973798274994,2022-01-21
ADBE,2022,Competition,0.5344415903091431,2022-01-21
ADBE,2022,Legal/IP,0.5425298810005188,2022-01-21
ADBE,2023,Supply Chain,0.48369190096855164,2023-01-17
ADBE,2023,Regulatory,0.4390694499015808,2023-01-17
ADBE,2023,Geopolitical,0.5813571810722351,2023-01-17
ADBE,2023,AI/Data Privacy,0.5795102715492249,2023-01-17
ADBE,2023,Cybersecurity,0.4905613362789154,2023-01-17
ADBE,2023,Macro/Inflation,0.4907354414463043,2023-01-17
ADBE,2023,Competition,0.5145145058631897,2023-01-17
ADBE,2023,Legal/IP,0.6079725623130798,2023-01-17
ADBE,2024,Supply Chain,0.5005636215209961,2024-01-17
ADBE,2024,Regulatory,0.44402948021888733,2024-01-17
ADBE,2024,Geopolitical,0.5495745539665222,2024-01-17
ADBE,2024,AI/Data Privacy,0.5755392909049988,2024-01-17
ADBE,2024,Cybersecurity,0.5277062654495239,2024-01-17
ADBE,2024,Macro/Inflation,0.5638739466667175,2024-01-17
ADBE,2024,Competition,0.5410073399543762,2024-01-17
ADBE,2024,Legal/IP,0.573620617389679,2024-01-17
V,2020,Supply Chain,0.4409516155719757,2020-11-19
V,2020,Regulatory,0.4502016007900238,2020-11-19
V,2020,Geopolitical,0.676245927810669,2020-11-19
V,2020,AI/Data Privacy,0.46878957748413086,2020-11-19
V,2020,Cybersecurity,0.5892333984375,2020-11-19
V,2020,Macro/Inflation,0.44377437233924866,2020-11-19
V,2020,Competition,0.42719316482543945,2020-11-19
V,2020,Legal/IP,0.5053229928016663,2020-11-19
V,2021,Supply Chain,0.6084859371185303,2021-11-18
V,2021,Regulatory,0.42196404933929443,2021-11-18
V,2021,Geopolitical,0.6210106611251831,2021-11-18
V,2021,AI/Data Privacy,0.4546421766281128,2021-11-18
V,2021,Cybersecurity,0.4941774010658264,2021-11-18
V,2021,Macro/Inflation,0.39895138144493103,2021-11-18
V,2021,Competition,0.43072980642318726,2021-11-18
V,2021,Legal/IP,0.4210115075111389,2021-11-18
V,2022,Supply Chain,0.552117109298706,2022-11-16
V,2022,Regulatory,0.46572327613830566,2022-11-16
V,2022,Geopolitical,0.5632148385047913,2022-11-16
V,2022,AI/Data Privacy,0.4528157413005829,2022-11-16
V,2022,Cybersecurity,0.5531722903251648,2022-11-16
V,2022,Macro/Inflation,0.404066264629364,2022-11-16
V,2022,Competition,0.4140416979789734,2022-11-16
V,2022,Legal/IP,0.46042028069496155,2022-11-16
V,2023,Supply Chain,0.4687143564224243,2023-11-15
V,2023,Regulatory,0.4978485405445099,2023-11-15
V,2023,Geopolitical,0.5270401239395142,2023-11-15
V,2023,AI/Data Privacy,0.5340898036956787,2023-11-15
V,2023,Cybersecurity,0.5158259272575378,2023-11-15
V,2023,Macro/Inflation,0.40260690450668335,2023-11-15
V,2023,Competition,0.4780009388923645,2023-11-15
V,2023,Legal/IP,0.45851263403892517,2023-11-15
V,2024,Supply Chain,0.4989883005619049,2024-11-13
V,2024,Regulatory,0.46748682856559753,2024-11-13
V,2024,Geopolitical,0.5664969086647034,2024-11-13
V,2024,AI/Data Privacy,0.6253565549850464,2024-11-13
V,2024,Cybersecurity,0.5203090310096741,2024-11-13
V,2024,Macro/Inflation,0.41058966517448425,2024-11-13
V,2024,Competition,0.475234717130661,2024-11-13
V,2024,Legal/IP,0.449989378452301,2024-11-13
MA,2020,Supply Chain,0.49032866954803467,2020-02-14
MA,2020,Regulatory,0.4751271605491638,2020-02-14
MA,2020,Geopolitical,0.5261155366897583,2020-02-14
MA,2020,AI/Data Privacy,0.47180870175361633,2020-02-14
MA,2020,Cybersecurity,0.5417569279670715,2020-02-14
MA,2020,Macro/Inflation,0.3698888123035431,2020-02-14
MA,2020,Competition,0.5139913558959961,2020-02-14
MA,2020,Legal/IP,0.4610949158668518,2020-02-14
MA,2021,Supply Chain,0.47656816244125366,2021-02-12
MA,2021,Regulatory,0.5044373869895935,2021-02-12
MA,2021,Geopolitical,0.473092257976532,2021-02-12
MA,2021,AI/Data Privacy,0.4620666205883026,2021-02-12
MA,2021,Cybersecurity,0.5373011231422424,2021-02-12
MA,2021,Macro/Inflation,0.40507766604423523,2021-02-12
MA,2021,Competition,0.4273585081100464,2021-02-12
MA,2021,Legal/IP,0.44347527623176575,2021-02-12
MA,2022,Supply Chain,0.48524951934814453,2022-02-11
MA,2022,Regulatory,0.5293301939964294,2022-02-11
MA,2022,Geopolitical,0.49659299850463867,2022-02-11
MA,2022,AI/Data Privacy,0.5119948387145996,2022-02-11
MA,2022,Cybersecurity,0.560007631778717,2022-02-11
MA,2022,Macro/Inflation,0.3816198706626892,2022-02-11
MA,2022,Competition,0.4269193112850189,2022-02-11
MA,2022,Legal/IP,0.45898136496543884,2022-02-11
MA,2023,Supply Chain,0.4536192715167999,2023-02-14
MA,2023,Regulatory,0.48089396953582764,2023-02-14
MA,2023,Geopolitical,0.49440717697143555,2023-02-14
MA,2023,AI/Data Privacy,0.4952150285243988,2023-02-14
MA,2023,Cybersecurity,0.5881568193435669,2023-02-14
MA,2023,Macro/Inflation,0.3968276381492615,2023-02-14
MA,2023,Competition,0.433417409658432,2023-02-14
MA,2023,Legal/IP,0.43168216943740845,2023-02-14
MA,2024,Supply Chain,0.5042333602905273,2024-02-13
MA,2024,Regulatory,0.512903094291687,2024-02-13
MA,2024,Geopolitical,0.5449950098991394,2024-02-13
MA,2024,AI/Data Privacy,0.5980539917945862,2024-02-13
MA,2024,Cybersecurity,0.5266229510307312,2024-02-13
MA,2024,Macro/Inflation,0.3730745315551758,2024-02-13
MA,2024,Competition,0.5267599821090698,2024-02-13
MA,2024,Legal/IP,0.48153144121170044,2024-02-13
JNJ,2020,Supply Chain,0.6826015114784241,2020-02-18
JNJ,2020,Regulatory,0.5658431649208069,2020-02-18
JNJ,2020,Geopolitical,0.5624616146087646,2020-02-18
JNJ,2020,AI/Data Privacy,0.47150757908821106,2020-02-18
JNJ,2020,Cybersecurity,0.5330219864845276,2020-02-18
JNJ,2020,Macro/Inflation,0.4259006381034851,2020-02-18
JNJ,2020,Competition,0.5399709939956665,2020-02-18
JNJ,2020,Legal/IP,0.5458027720451355,2020-02-18
JNJ,2021,Supply Chain,0.6438116431236267,2021-02-22
JNJ,2021,Regulatory,0.6068613529205322,2021-02-22
JNJ,2021,Geopolitical,0.4777863025665283,2021-02-22
JNJ,2021,AI/Data Privacy,0.39769500494003296,2021-02-22
JNJ,2021,Cybersecurity,0.4770313501358032,2021-02-22
JNJ,2021,Macro/Inflation,0.4476219117641449,2021-02-22
JNJ,2021,Competition,0.5527281761169434,2021-02-22
JNJ,2021,Legal/IP,0.509670615196228,2021-02-22
JNJ,2022,Supply Chain,0.5677998661994934,2022-02-17
JNJ,2022,Regulatory,0.5729528069496155,2022-02-17
JNJ,2022,Geopolitical,0.5251252055168152,2022-02-17
JNJ,2022,AI/Data Privacy,0.5069900751113892,2022-02-17
JNJ,2022,Cybersecurity,0.5123509168624878,2022-02-17
JNJ,2022,Macro/Inflation,0.4344559907913208,2022-02-17
JNJ,2022,Competition,0.5953846573829651,2022-02-17
JNJ,2022,Legal/IP,0.601993203163147,2022-02-17
JNJ,2023,Supply Chain,0.6556721925735474,2023-02-16
JNJ,2023,Regulatory,0.5767817497253418,2023-02-16
JNJ,2023,Geopolitical,0.5617049336433411,2023-02-16
JNJ,2023,AI/Data Privacy,0.49130678176879883,2023-02-16
JNJ,2023,Cybersecurity,0.514472484588623,2023-02-16
JNJ,2023,Macro/Inflation,0.5052944421768188,2023-02-16
JNJ,2023,Competition,0.4960491359233856,2023-02-16
JNJ,2023,Legal/IP,0.5417169332504272,2023-02-16
JNJ,2024,Supply Chain,0.55101078748703,2024-02-16
JNJ,2024,Regulatory,0.5348941683769226,2024-02-16
